time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.9407014822642446e-08,3.735627143694048e-08,10.006131300717167,3.984099351317383e-05,5.179291709467293e-05,0.0,-4.751824040786721e-06,3.622805466089378e-06,0.204361605846675,0.001960149084018786,0.002536193060500327,0.0,469.03721205275303,469.23408401357864,468.4795617913221,468.63190646507695
0.12000000000000001,-2.159705909470303e-06,1.4653979076194228e-06,10.019374468739215,0.00023741999591564422,0.0005398680610895212,0.0,-9.676738618831125e-05,5.859884072681679e-05,0.23707077952515443,0.005833763539714789,0.017472474036482437,0.0,413.97468715480096,415.28657569487365,415.3053140596941,415.6448121971663
0.18,-2.7709396381588958e-05,1.3090561654023634e-05,10.042996825922925,0.0002552515440763514,0.00141440552684724,0.0,-0.0008842381012567969,0.00035786403566502643,0.5502431684909709,-0.014082306598756481,0.00804079137869935,0.0,499.47276153470875,498.7844185947398,501.75532197023347,500.3076081394097
0.23999999999999996,-0.00011326514612069231,3.669305369039443e-05,10.079413574864281,6.282654025662314,0.002522384161711244,0.0,-0.002055961876639495,0.0003441273535466383,0.6635888060855656,-0.01122989050035577,0.0337908405541974,0.0,440.87776466132124,442.99986399856635,440.83663740507694,441.07235259887875
0.3,-0.00029917007886081845,4.3286289902765183e-05,10.122923318479513,6.281913550407523,0.0039818576912287185,0.0,-0.004343137889891216,-0.00019874453663187624,0.7866581747296225,-0.014662107990566258,-0.012338201375348376,0.0,446.9499370949952,443.1750903418241,444.3385204294439,444.0572188825901
0.36000000000000004,-0.0006328193417590675,4.055202365772148e-06,10.171447092390613,6.2808902445827215,0.003337813153732938,0.0,-0.006713676370429736,-0.001197640104389736,0.8307697372392261,-0.022330818841380426,-0.007704754303668831,0.0,419.7780881084038,420.1800306649911,419.23424808522356,418.56753304374905
0.4200000000000001,-0.0010988030189001757,-0.00011713214121601802,10.222999009055156,6.279365260862978,0.003077576005752647,0.0,-0.008785136135822227,-0.0029779693749677613,0.8875844791640178,-0.03243787790870789,0.0016661682670429355,0.0,423.08681686102517,423.89283408143194,424.3354765982594,423.46689960092226
0.48000000000000015,-0.0016837480720510952,-0.000373472079311975,10.277297937280608,6.277894780154131,0.0030476117913105227,0.0,-0.01071654995784624,-0.005721157977150068,0.9223514555197347,-0.012097830196844822,-0.005226848573379935,0.0,416.14401183789295,415.54028803556037,416.28276743765076,418.0584049158002
0.5400000000000001,-0.002398790638804427,-0.0008477000501729368,10.339101502082995,6.276936102832597,0.0024061453168142677,0.0,-0.013064602008796451,-0.010183998451525502,1.137577683879498,-0.02515949578631821,-0.02481794525837357,0.0,473.7086562972375,472.20005153593803,473.3975918647427,472.391680099151
0.6000000000000002,-0.0032225402550323857,-0.0015807911501239085,10.408384043926917,6.275105380176978,0.0009932185101870772,0.0,-0.014259882235934709,-0.014403442802354106,1.1718049327848628,-0.044252561731403836,-0.021124433507254705,0.0,417.35690925736316,417.67901917663943,416.98888173568264,415.31734615239276
0.6600000000000003,-0.004094513119066356,-0.0026307893815135323,10.482742256597826,6.272708767457264,6.282713861020624,0.0,-0.014660445039553275,-0.020864691613254403,1.3066551478643251,-0.03248212954539706,-0.031962267303111545,0.0,449.5154357206806,448.63632574429244,448.8556516327775,449.80892823430565
0.7200000000000003,-0.004957593153239411,-0.004104330010634357,10.563969623794735,6.271094923996767,6.281137847580506,0.0,-0.013934253062578134,-0.02843042476430001,1.400810628515351,-0.017580047626532314,-0.016794750991667454,0.0,437.28430984501006,438.54565776629795,434.9827308689287,436.22854658752794
0.7800000000000004,-0.005746483832089557,-0.006070786545043062,10.651646958184648,6.270704406954518,6.28046612929057,0.0,-0.012276156479592489,-0.0371857896159613,1.5216128399485673,0.009516163690706682,-0.0018562070532876784,0.0,444.90767011690826,446.1290759766309,444.1874611658096,446.4038802195737
0.8400000000000004,-0.006436949755891424,-0.008510616549482632,10.742163411931612,6.2715226666170345,6.280523024730897,0.0,-0.010737432566392193,-0.044083584357576915,1.4956374206140883,0.02081629932394072,0.006038219663800511,0.0,396.99022533910113,397.7138670734338,396.78106990695085,397.8169722462375
0.9000000000000005,-0.007027530901329111,-0.011391923798980115,10.834908141907379,6.272409107412784,6.280825889408225,0.0,-0.008982950864193307,-0.05184542559284866,1.595720308612032,-0.0014368296409574682,0.002989230071448223,0.0,438.64160897637055,438.3882674087829,440.71259999119206,438.8695165342502
0.9600000000000005,-0.0075174218951990284,-0.014732987007566334,10.934375566684862,6.272726955827963,6.281515477170993,0.0,-0.007397109931703787,-0.059506575305116216,1.7196823000750254,0.016180321917843896,0.02460667272378307,0.0,445.5914361161075,447.35492577535456,446.69105484193176,448.12522060711365
1.0200000000000005,-0.007932873350338538,-0.018511292897258738,11.040157906443932,6.274067704064567,6.282730699708365,0.0,-0.006587898850893815,-0.06631794022066421,1.8062640297261265,0.032465584792509716,0.009695841472170518,0.0,436.1208198167376,434.87369651748287,434.9147013808483,436.27650233147693
1.0800000000000005,-0.008321192135636788,-0.022664555991105777,11.150746624656863,6.27590350490631,1.953560720480141e-05,0.0,-0.006408149795335646,-0.07193744628276492,1.8799098703100525,0.026569929054379993,0.004049737878578504,0.0,432.0837835199223,431.6074466172024,431.7757303106897,431.2784290427028
